Building,HP COP,CZ,Baseline,Base TRC,Base Benefits,Base TRC Cost,Measure Cost Component,Other TRC Cost Component,TRC Source,NTG,Benefits at NTG,Measure Cost at NTG,TRC Cost at NTG,TRC at NTG,Passes TRC 1,NTG Basis
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.100000,6918.901703,2478.749349,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.200000,13837.803406,4957.498697,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.300000,20756.705110,7436.248046,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.400000,27675.606813,9914.997395,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.500000,34594.508516,12393.746744,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.600000,41513.410219,14872.496092,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.700000,48432.311923,17351.245441,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.800000,55351.213626,19829.994790,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,0.900000,62270.115329,22308.744139,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,CODE,,69189.017032,,24787.493487,,TRC Modeled,1.000000,69189.017032,24787.493487,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.100000,6918.901703,3346.595238,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.200000,13837.803406,6693.190475,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.300000,20756.705110,10039.785713,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.400000,27675.606813,13386.380950,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.500000,34594.508516,16732.976188,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.600000,41513.410219,20079.571425,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.700000,48432.311923,23426.166663,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.800000,55351.213626,26772.761900,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,0.900000,62270.115329,30119.357138,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,8,EXISTING,,69189.017032,,33465.952375,,TRC Modeled,1.000000,69189.017032,33465.952375,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.100000,6635.530016,3119.089528,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.200000,13271.060033,6238.179056,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.300000,19906.590049,9357.268584,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.400000,26542.120065,12476.358112,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.500000,33177.650082,15595.447640,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.600000,39813.180098,18714.537167,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.700000,46448.710114,21833.626695,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.800000,53084.240131,24952.716223,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,0.900000,59719.770147,28071.805751,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,CODE,,66355.300163,,31190.895279,,TRC Modeled,1.000000,66355.300163,31190.895279,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.100000,6635.530016,4211.127747,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.200000,13271.060033,8422.255493,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.300000,19906.590049,12633.383240,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.400000,26542.120065,16844.510987,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.500000,33177.650082,21055.638733,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.600000,39813.180098,25266.766480,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.700000,46448.710114,29477.894226,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.800000,53084.240131,33689.021973,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,0.900000,59719.770147,37900.149720,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,3.000000,9,EXISTING,,66355.300163,,42111.277466,,TRC Modeled,1.000000,66355.300163,42111.277466,,,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.100000,10637.703429,2932.910923,61184.160067,0.173864,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.200000,21275.406858,5865.821845,64117.070990,0.331821,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.300000,31913.110287,8798.732768,67049.981913,0.475960,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.400000,42550.813715,11731.643691,69982.892836,0.608017,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.500000,53188.517144,14664.554614,72915.803758,0.729451,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.600000,63826.220573,17597.465536,75848.714681,0.841494,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.700000,74463.924002,20530.376459,78781.625604,0.945194,False,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
Hotel,4.300000,8,CODE,1.214622,106377.034288,87580.358372,29329.109227,58251.249145,TRC Modeled,0.800000,85101.627431,23463.287382,81714.536526,1.041450,True,Benefits and SWWH028 measure-cost component scale with NTG; other TRC cost stays fixed; base NTG = 1.0
